line_path,original_text,corrupted_text
diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे","आई, ईच का विमलचरित.र7जन्Tमे"
diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥,लEकर मरघप'्ोन्त वर्णिवहै ॥
diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में,ने उत्ॐम ललितछछन्ओो- मoं
diksita1895__00c__r3l62.png,प्रथम बार,प१रधम बार
diksita1895__00c__line_1518610883333_4.png,लखनऊ,Rऊनऊ
diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा","मुंाी नoलकिशोर (सी, आई' ईं uे५KापेखानेDणं तपा"
diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥,म; स६ॉ P८९४ ई० ॥
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,झ(ऐञमाू् म7ंशफॐवलकUशोरएीको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,लदबोदर गजबृन कदन घत वथIन पगा
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,रन[॥ सुरस९रदाघuउदाHेदार चाkहु फक
diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम,"कुरको । बरणहुं ज""'खल3रित कछु२ं्रीम"
diksita1895__01__r3l14.png,लकिशोरको ॥,लकिLोरकोः॥
diksita1895__02__r3l2.png,भार्गवकुलस्वइसत्ति विदित भयोअतिबृद्धिलहि,भार्गवकुलश्वइसत्ति विदितूभयोअkिसृ१्धफलहि
diksita1895__02__r3l3.png,दाहा ॥,दाह॥ ॥
diksita1895__02__r3l4.png,जनमें त्यहिकुल धवलमहँ श्रीयमुनापरसाद ।,जनमकं॰झ्यहऋकुल धरलमहू े्रीउमुनापरसाद ।
diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,गढ़ न.म S त]यहR अन्तर्3्गतंबसघ लसन इक-
diksita1895__02__line_1518611226375_9.png,वर्ण राजत तहँ धनिक बनिक बरभाय ॥,वर्णwएाजत[तहँेधनऊक नगिक बरधाय ॥
diksita1895__02__r3l21.png,श्री यमुना परसाद के पितृ पितामह आदि ।,श्री यम९ना द५साद केणपि6ृ पितामे १-ि ।
diksita1895__02__line_1518611209604_7.png,बसेप्रथमत्यहि ग्राममहँ सुखसह रहित उपाधि ॥,बसेप्8उOत्यहि ६्राममहँ सNखसह रहडत Wपाधि ॥
diksita1895__02__line_1518611217534_8.png,ककुभाछन्द ॥,ककहभाछ८्द ी
