line_path,original_text,corrupted_text
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,श्रीमृन् डुंशoनवलकिशोरजDको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,लंबोदर Wजबदन कदन घन विघ० पगा
diksita1895__01__r3l9.png,न । अशरन शरन कृपाल विकट संकट हठि,न ५ अशkन शर' कृपाल विकट६ींकट ह्ि
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,रन ॥ सुर सरदार उदार दाD च:रहु फल
diksita1895__01__r3l12.png,को ॥ ध्याय ताहि लवलाय पग चाहि दया,कu ॥ ]्याय ताढिऽलवलाय पग३ेाहि दया
diksita1895__01__r3l16.png,ऋषिते उत्पत्ति ज्यहिकुलकीभइजगतमहँ ।,ऋषितव७उत्धत्ति ज्यऊिकुलकीभइौगतमहँ ।
diksita1895__02__r3l3.png,दाहा ॥,wाह़घ॥
diksita1895__02__r3l30.png,करी बहुत एकत्र रियासत महि ग्राम(...)दि,करी बहPत एकत्ऋ रि८ासत ॉआि ग्राम(...झदि
diksita1895__02__r3l31.png,इलाका । धाम ललाम रचे विरचे बाँ(...)ध्यो,इलाका । धाम ललञञ 1चे विरचे काँ(...)ध्यो
diksita1895__02__r3l33.png,सुयश पताका ॥ करि बहुकाल विशाल भोग,सबयश पताका ॥़करि बहुकाल विशाल भोआ
dudhadasa1900__02__line_1518443596014_251.png,मुद मंगल सुख देनु सूझिपरै रघुबर चरित ॥,मुदTमंगल सुख देनु सूझ2परै रघुबर चरित ॥
dudhadasa1900__02__line_1518443632315_256.png,बन्दौं सिन्धुसुजान शैलसुता षटमुख सहित ।,फन्दौं सिन्धुसुजान शै.सुका ूटमुख सहित ।
dudhadasa1900__02__line_1518443642227_257.png,सकल सुमंगलखान नन्दीपति गिरिजारमण ॥,सकल सुमंगलPान नन्दीपति गऐरिजारमण ॥
dudhadasa1900__02__line_1518443653535_258.png,बन्दौं रघुबर पद जलजाता । आरतिहरण परमसुखदाता ॥,बन्दौं जघुबर पद जलजाता cठआरतिहरT परमसुखदातल ॥
dudhadasa1900__03__line_1518446019588_266.png,बन्दौं करजोरे सब काहू । दनुजमण्डली रवि शशिराहू ॥,६न्दौं करौैपे सब काहू । दनुजPण्डली ॉवि८शशिराहू भ
dudhadasa1900__03__line_1518446044784_269.png,कृपाकरहु सेवक समुझि तजि इरषा अभिमान ॥,कृपाकरह४ सेवक समुnि तजि इरषा अभिमान ॥
dudhadasa1900__03__line_1518446164360_280.png,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,च।ण सरस्इति ना५शिoबरणोंमतिcसुरूप ॥
dudhadasa1900__03__line_1518446179295_281.png,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,करौंललितशुभचरित अरम्भाच।Sज्यहिस*निमिटैमोहमदद८्भा ॥
dudhadasa1900__03__line_1518446219742_286.png,नित नूतन हरिचरित अनूठे । प्रथमहिंशंभुबचनकह मीठे ॥,नित नूतश ४रिचरितo[नूठे । प्रथमहितशंभुबचनकह मीठ]ञ॥
dudhadasa1900__03__line_1518446278111_292.png,नाथ चरित प्रभु सिन्धु अपारा । को अस मूढ़ जु चाहै पारा ॥,नाथ चरित प्रभु Hिन्धु अपारा ड को nस मूढ़ ज8 चाहैैपारा ॥
