line_path,original_text,corrupted_text
diksita1895__00c__line_1518610818277_1.png,जीवनचरित्र,जीवनचसित्र
diksita1895__00c__r3l15.png,श्रीमान् भार्गवकुलकमलप्रकाशक मा-,श्ैी ान्kभारउगवकुलफमOप6रकाशक मा-
diksita1895__00c__r3l20.png,"र्तण्ड मुंशी नवलकिशोर जी (सी,","४्तण्ड मुंशी नवल?िशोर ज) (स१,"
diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे","३ई,ऊई).क! विमलचATत्र जn्ममण"
diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥,लेकर मरणपर्यन्ञ वज्ूिT॥ै ॥
diksita1895__00c__r3l34.png,जिसको,जिसकK
diksita1895__00c__line_1518610839603_2.png,उन्नाम प्रदेशान्तर्गत मसवासी ग्राम,ँऩ्ाम घ्रRLशॉन्तर्गत ऊ॰तणसीcग्र?म
diksita1895__00c__line_1518610859368_3.png,निवासी पण्डित बन्दीदीन दीक्षित,न:ठासीःपण्ःित ब)्दीदीन द१क्षित
diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में,ने४उतऽञम ललित ोन्दों;षें
diksita1895__00c__r3l51.png,निर्मित किया ॥,न:२्मिRHकिया ॥
diksita1895__00c__r3l58.png,श्रीबाबू प्रयागनारायण की आज्ञानुसार,ृ्रीब९बऐ प्रयागनारायण इ झIे्ञानुसान
diksita1895__00c__r3l62.png,प्रथम बार,?्रथम बा२
diksita1895__00c__line_1518610883333_4.png,लखनऊ,लखना
diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा","मुंशी नवलकपशोर (सी, आई, ई( के िाऽेभानडमें छपउ"
diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥,मई सनच स6९४ L० ॥
diksita1895__01__line_1518611095647_6.png,श्री गणेशाय नमः,श्भी गऽे]ाय षमः
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,श्रीमान् मुंशीौवलहिश+रजचको
diksita1895__01__r3l6.png,जीवनचरित्र प्रारम्भ: ॥,जीवनचएित्ढ प[रारझ्भ: ॥
diksita1895__01__r3l7.png,षट्पदछंद ॥,षट्=णछंदज॥
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,"लंHोदऐ गn,दन कदw घन विघन पग"""
