line_path,original_text,corrupted_text
diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे","आ॥,,चच:Rा६विमलचरिऐ.र7जन्Tमे"
diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥,लE3र मरघप'्ोन्ो वर्२िवँै ॥
diksita1895__00c__r3l34.png,जिसको,डिसको
diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में,"नेडउत्ॐम ""लितछ९'आओू- मow"
diksita1895__00c__r3l62.png,प्रथम बार,प१रधम :डर
diksita1895__00c__line_1518610885849_5.png,3,े
diksita1895__00c__line_1518610883333_4.png,लखनऊ,Rऊनऊ
diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा",शुंाI िoलकि3ोW3(टीठ मई' ईं uे५K६पेखानेDणं तपा
diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥,म; स६ॉ Pो९४धई० ॥
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,झ(ऐञमाू् ५7ं।फॐवलकUशोरएीको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,लदबोचर गजबृSआ*दनऔघत वथIन पगा
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,र४[॥ सॐरस९र२ाघuउदइHेkारेTWkहु फक
diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम,"कुओको ।'बरणहनं ज""'खल3भछत कछु२ं्री]"
diksita1895__01__r3l14.png,लकिशोरको ॥,लकिLोरकोःE
diksita1895__02__r3l2.png,भार्गवकुलस्वइसत्ति विदित भयोअतिबृद्धिलहि,भारछगु1ऋलश्+जसत्ति विदि:ू]९ोअkिसृ१्धफल(ि
diksita1895__02__r3l3.png,दाहा ॥,ंाह॥द॥
diksita1895__02__r3l4.png,जनमें त्यहिकुल धवलमहँ श्रीयमुनापरसाद ।,जnमकं॰झ्लPऋकुल धर५महूNेअL?उम(नापरसाद w
diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,"ग,़ न.म Sहत]यहR अनधतर्3्गतं)सघझलसन इक-"
diksita1895__02__line_1518611226375_9.png,वर्ण राजत तहँ धनिक बनिक बरभाय ॥,वब्णwएाजग[ूwँेcनऊक नगूक बरधा6 .
diksita1895__02__r3l21.png,श्री यमुना परसाद के पितृ पितामह आदि ।,श्रच वम९नाैद५साद cनणपि6ृ पितामेथ१-ि ।
