line_path,original_text,corrupted_text
diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे","आई, ई) का विमलचरित्र7जन्Tमे"
diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥,लEकर मरणपर्ोन्त वर्णिवहै ॥
diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में,ने उत्ॐम ललितछछन्ओों मoं
diksita1895__00c__line_1518610883333_4.png,लखनऊ,Rऊनऊ
diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा","मुंाी नवलकिशोर (सी, आई, ई) uे KापेखानेDें तपा"
diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥,मई सनॉ P८९४ ई० ॥
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,झ(रीमान् मुंशफॐवलकUशोरजीको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,लदबोदर गजबृन कदन घत वथIन पगा
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,रन[॥ सुर ९रदाघ उदाHेदार चारहु फक
diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम,"कोरको । बरणहुं ज""'नलचरित कछु ं्रीम"
diksita1895__01__r3l14.png,लकिशोरको ॥,लकिशोरकोः॥
diksita1895__02__r3l2.png,भार्गवकुलस्वइसत्ति विदित भयोअतिबृद्धिलहि,भार्गवकुलश्वइसत्ति विदित भयोअkिबृ१्धिलहि
diksita1895__02__r3l4.png,जनमें त्यहिकुल धवलमहँ श्रीयमुनापरसाद ।,जनमें॰त्यहिकुल धवलमहँ े्रीयमुनापरसाद ।
diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,गढ़ न.म S त]यहि अन्तर्ग्गत बसत लसन इक-
diksita1895__02__line_1518611226375_9.png,वर्ण राजत तहँ धनिक बनिक बरभाय ॥,वर्ण राजत[तहँ धनिक बनिक बरधाय ॥
diksita1895__02__r3l21.png,श्री यमुना परसाद के पितृ पितामह आदि ।,श्री यमुना द५साद केणपितृ पितामे आ-ि ।
diksita1895__02__line_1518611209604_7.png,बसेप्रथमत्यहि ग्राममहँ सुखसह रहित उपाधि ॥,बसेप्8उOत्यहि ग्राममहँ सNखसह रहडत Wपाधि ॥
diksita1895__02__line_1518611217534_8.png,ककुभाछन्द ॥,ककहभाछन्द ी
diksita1895__02__r3l30.png,करी बहुत एकत्र रियासत महि ग्राम(...)दि,करी बहुत डकत्र रियासत महि ग्रा५(...)द॰
diksita1895__02__r3l35.png,सुख अन्त गये सुर धामहिं । उज्ज्वल कीर(...)ति,सुख अआ्तnगये सुर घ)महिं । उज्ज्वल कीर(...)ति
