line_path,original_text,corrupted_text
diksita1895__01__line_1518611095647_6.png,श्री गणेशाय नमः,श्री रणेशाय नमः
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,श्रऋमृन् डुंशoनवलकिभोऽजDको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,लंबोदर Wजबदन कदन घन विघ० पगा
diksita1895__01__r3l9.png,न । अशरन शरन कृपाल विकट संकट हठि,न ५ अशkनखशर' कSपEल विकट६ींकट ह्ि
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,रनफ॥ सुर सरदार उदवर ंाD R:रहु फल
diksita1895__01__r3l12.png,को ॥ ध्याय ताहि लवलाय पग चाहि दया,कu७॥ ]्या] तखढिऽलवलाय पग३ेछङि nया
diksita1895__01__r3l16.png,ऋषिते उत्पत्ति ज्यहिकुलकीभइजगतमहँ ।,ऋऔितव७उत्धत्तो ज्यऊिकुलकीभइौगतमहँ ।
diksita1895__02__r3l3.png,दाहा ॥,wाह़घ॥
diksita1895__02__r3l30.png,करी बहुत एकत्र रियासत महि ग्राम(...)दि,"करी बहPत एकतजऋ रि८.सत ॉआि ग्राE(...झद,"
diksita1895__02__r3l31.png,इलाका । धाम ललाम रचे विरचे बाँ(...)ध्यो,इलाका । धाम ललञञN1Kे विरचेOकाँ(...)द्यो
diksita1895__02__r3l33.png,सुयश पताका ॥ करि बहुकाल विशाल भोग,सबयश पताका ॥़करि बहुकाल विश]ल भोआ
dudhadasa1900__02__line_1518443596014_251.png,मुद मंगल सुख देनु सूझिपरै रघुबर चरित ॥,म*दTमंवल सुख जेनु स-झ2ेरै ऽघुबर थरित५॥
dudhadasa1900__02__line_1518443632315_256.png,बन्दौं सिन्धुसुजान शैलसुता षटमुख सहित ।,फन्दIं सिन्धुसुजान शै.सुका ूटमःख सहित ८
dudhadasa1900__02__line_1518443642227_257.png,सकल सुमंगलखान नन्दीपति गिरिजारमण ॥,सकलEसुkंगलPान नन्दी3]ि गऐरिजगरमल ॥
dudhadasa1900__02__line_1518443653535_258.png,बन्दौं रघुबर पद जलजाता । आरतिहरण परमसुखदाता ॥,।ष्दौं जघुबर पद जलजञता cठआरतिहरT पछमसुखदातल ो
dudhadasa1900__03__line_1518446019588_266.png,बन्दौं करजोरे सब काहू । दनुजमण्डली रवि शशिराहू ॥,६न्दौं करौैपे सब कझहू । दनुजPण्डली ॉवि८शशिराहू भ
dudhadasa1900__03__line_1518446044784_269.png,कृपाकरहु सेवक समुझि तजि इरषा अभिमान ॥,कृपउकरह४ Pेेक समुnि तजि इरषा अभिमान ॥
dudhadasa1900__03__line_1518446164360_280.png,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,च।ण सरस्इत+ ना५शिoबरणोंमतिcसुरूप ॥
dudhadasa1900__03__line_1518446179295_281.png,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,क।ौंललितशुभचरित *थम्भाच।Sज्य=िस*निमिटभमो1मदद८Oभा ि
dudhadasa1900__03__line_1518446219742_286.png,नित नूतन हरिचरित अनूठे । प्रथमहिंशंभुबचनकह मीठे ॥,नितंनूतशW४रिररिPo[नूठे । प्रथमहितशंभुबचनकह मीठ]ञ॥
