line_path,original_text,corrupted_text
diksita1895__01__r3l7.png,षट्पदछंद ॥,षw्थA?2़ ग
diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम,"कोरको ।ङ[रuहुं""जीव:षचरित९कबुजश् ीम"
diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,गढू Rेम ।ँत्यहि खन्त:्गिगत )०यTफनि इुख
dudhadasa1900__02__line_1518443588669_250.png,बन्दौं गुरु पदरेनु मन रञ्जन अञ्जन दृगन ।,बव्अौंकिुLभLपदuेन॰तमऊ+रञ्ँन-ृञ+जझ ढृणन '
dudhadasa1900__03__line_1518446027643_267.png,यह बर देउ धरौं पद माथा । बरणों यश निर्मल रघुनाथा ॥,ृहTझे देउ धशoं ॥द मरथाैऔ व२णोज यश एीख*मलंरघDमाषDू॥
dudhadasa1900__03__line_1518446134885_277.png,धन्य धन्य हिमवन्त कुमारी । तुससमनहिंक्वउजगहितकारी ॥,धनRय धऐ्य ह५मवA्त कुीॉधश ।७तnसस7ञहिंक्व़थगहिषकूॉी८॥
dudhadasa1900__03__line_1518446146200_278.png,जगहित प्रश्न तुम्हार भवानी । कहौंसुनहुनिश्चचयजियआनी॥,;[हि।शेनरशNाी१ुम्हऊरnnवानीछ। कह़ंसुउऐ7इघखजचचयजिप*नी॥
dudhadasa1900__03__line_1518446164360_280.png,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,छरण Nरस्वNः ना७शडAणरेोU1तिअनुरूप ॥
dudhadasa1900__03__line_1518446179295_281.png,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,"ठउ,Uलल!तणुअचरठतङअ:म्Tआ ।३जायी!स८ेममिटैमNेमदॐcीध;६ओ"
dudhadasa1900__04__line_1518447115928_306.png,धरि उरधीर भरम सब खोई । सुनहुकथा तुम पूँछ्यो जोई ॥,"ऐरि उरधीर,भंम सथ खघच ४ स=नहुघथा [ुम २+ँ.2योUजोई ॥"
dudhadasa1900__04__line_1518447185071_318.png,मो मनकी रुचिजानहु स्वामी । घटघटके तुम अन्तरयामी ॥,ँो भॐकीऽँLविचुन(ु ंIढामी ृ ंटहटकेफतजमिअन]श[यामीद'
dudhadasa1900__06__line_1518447577538_350.png,६,U
dudhadasa1900__06__line_1518447613563_358.png,कछू प्रकट कछु राखिउर देखि सभा सकुचाय ॥,कछ। प्रकट ाश्Iराखिउर दलँ6 सभा सआ!चाक स
dudhadasa1900__06__line_1518447654856_367.png,वे समरथ कोशलपुर राऊ । भयवशकहतनअवधसमाऊ ॥,वेब(मरथ कोचलपझर राऊ ।म्यवशHथत-ॉवuसcि२ङ॥
dudhadasa1900__07__line_1518447784459_379.png,बरणत परस्पर छबिसुहावन राम सुखमा धामकी ॥,ो णत परस्पर ऽबिस३हा[नखदाम सD=मृ ध-अकीलष
dudhadasa1900__07__r1l41.png,भये भोर प्रथम विदेहतनया सखी सँग महलनगई ।,भॐे भआPृ.्Aथn वअ=७हतनयफ सखDथसTगभउहलनगृद५
dudhadasa1900__09__r1l2.png,सुनु शत्रुहन कीन्ह प्रण येही । आवहु छोड़ विपिन वैदेही ॥,ऽॐशऊ शR्SुहनHकीD्ह ेवरण E]व.छ।ूआों)लछषड़ढSउप2न४वैदेहो ॥
dudhadasa1900__09__r1l20.png,नहिं त्यागों जो जनक कुमारी । लेहुं अयश शिरपातकभारी ॥,नह६ंसश्०ागों जो ;सक क8मौरहआK लेहुंI6यफn८िरपओत(Rऋर6 ज
dudhadasa1900__10__line_1518448672752_433.png,कौनसोकाज जाहिलगिस्वामी । कीन शोच उर अन्तर्य्यामी ॥,Hौ1सोकkज Eॐहिलगत.्वामी । कओn शोव ;रघअनुतरछय्यामआ ः
dudhadasa1900__10__line_1518448688887_437.png,सेवक धर्म्म स्वामि सेवकाई । करियसदातनमन चितलाई ॥,"से1क धव्N्ल लw५Rमि स2nकाई*TOकरि,सदातनमनहई२वDाै ॥"
