line_path,original_text,corrupted_text
diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम,"कोरको । बरuहुं""जीव: चरित कछुजश्रीम"
diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,गढ़ Rाम । त्यहि अन्त:्ग्गत )सत फसत इु-
dudhadasa1900__02__line_1518443588669_250.png,बन्दौं गुरु पदरेनु मन रञ्जन अञ्जन दृगन ।,बन्दौं गुरभLपदरेन॰ मन रञ्जन अञ्जन दृगन ।
dudhadasa1900__03__line_1518446027643_267.png,यह बर देउ धरौं पद माथा । बरणों यश निर्मल रघुनाथा ॥,ृह झर देउ धशौं ॥द माथा औ वरणों यश एीर्मल रघुनाथDू॥
dudhadasa1900__03__line_1518446134885_277.png,धन्य धन्य हिमवन्त कुमारी । तुससमनहिंक्वउजगहितकारी ॥,धनRय धन्य ह५मवन्त कुीारी । तnसस7ञहिंक्वउथगहितकाॉी ॥
dudhadasa1900__03__line_1518446146200_278.png,जगहित प्रश्न तुम्हार भवानी । कहौंसुनहुनिश्चचयजियआनी॥,;गहितशे्रश्न तुम्हऊर भवानी । कहौंसुउऐुइिश्चचयजिय*नी॥
dudhadasa1900__03__line_1518446164360_280.png,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,चरण सरस्वNि नायशिरबरेोंमतिअनुरूप ॥
dudhadasa1900__03__line_1518446179295_281.png,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,करौंलल!तशुअचरित अरम्भा । ज्यीिसुनिमिटैमोहमददमीभा ॥
dudhadasa1900__04__line_1518447115928_306.png,धरि उरधीर भरम सब खोई । सुनहुकथा तुम पूँछ्यो जोई ॥,धरि उरधीर भरम सथ खघई ४ सुनहुकथा तुम पूँछ्योUजोई ॥
dudhadasa1900__04__line_1518447185071_318.png,मो मनकी रुचिजानहु स्वामी । घटघटके तुम अन्तरयामी ॥,मो मनकी ँुचिजानहु स्वामी ृ घटघटके तुम अन्श[यामी ॥
dudhadasa1900__06__line_1518447577538_350.png,६,U
dudhadasa1900__06__line_1518447613563_358.png,कछू प्रकट कछु राखिउर देखि सभा सकुचाय ॥,कछू प्रकट ाछुIराखिउर दलँ6 सभा सकुचाय ॥
dudhadasa1900__06__line_1518447654856_367.png,वे समरथ कोशलपुर राऊ । भयवशकहतनअवधसमाऊ ॥,वे (मरथ कोचलपझर राऊ । ्यवशकहतनॉवधसमाऊ ॥
dudhadasa1900__07__line_1518447784459_379.png,बरणत परस्पर छबिसुहावन राम सुखमा धामकी ॥,ोरणत परस्पर छबिसुहावनखराम सु=मा धाअकील॥
dudhadasa1900__07__r1l41.png,भये भोर प्रथम विदेहतनया सखी सँग महलनगई ।,भये भोरृ.्रथम विदेहतनया सखी सँग महलनगृ ५
dudhadasa1900__09__r1l2.png,सुनु शत्रुहन कीन्ह प्रण येही । आवहु छोड़ विपिन वैदेही ॥,सुनु शR्रुहन कीन्ह े्रण येही । आोह) छोड़ Sउपिन वैदेही ॥
dudhadasa1900__09__r1l20.png,नहिं त्यागों जो जनक कुमारी । लेहुं अयश शिरपातकभारी ॥,नह६ं त्यागों जो ;सक कुमारी । लेहुंIअयश शिरपातकभऋरी ॥
dudhadasa1900__10__line_1518448672752_433.png,कौनसोकाज जाहिलगिस्वामी । कीन शोच उर अन्तर्य्यामी ॥,Hौनसोकाज Eाहिलगतस्वामी । कीn शोव ;र अन्तर्य्यामआ ॥
dudhadasa1900__10__line_1518448688887_437.png,सेवक धर्म्म स्वामि सेवकाई । करियसदातनमन चितलाई ॥,सेवक धर्म्म ल्वामि सेवकाई । करियसदातनमन ईितDाई ॥
dudhadasa1900__10__line_1518448793756_455.png,सियपहँ गये विकलअति भारी । दोउकरजोरिविनयअनुसारी ॥,सियपहँ गयः विकलङति भारी:। दोउकरजोरिविनयअनुसारी ॥
