line_path,original_text,corrupted_text
diksita1895__01__line_1518611095647_6.png,श्री गणेशाय नमः,शOर-kर3शश३य नमः
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,श् ऋमृन् डुंशo1वलकिभोऽजDको
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,ऐंबोद6 Wहबदन६कदन घनLविघ० पभा
diksita1895__01__r3l9.png,न । अशरन शरन कृपाल विकट संकट हठि,न ५लn3kयखशर'सकSपEल ृभक3६ींकछ ह्7
diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल,"रगफ॥ स३रऐcर(ाo +दवर ंाD R:""हु फल"
diksita1895__01__r3l12.png,को ॥ ध्याय ताहि लवलाय पग चाहि दया,कu७॥ ]्या] तखढिऽ८वलोय पग३ेछङि nया
diksita1895__01__r3l16.png,ऋषिते उत्पत्ति ज्यहिकुलकीभइजगतमहँ ।,कऔिछव७उत्धत्तो ज्यऊिक५लकीभइौSLंहँठ।
diksita1895__02__r3l3.png,दाहा ॥,wाह़घ॥
diksita1895__02__r3l30.png,करी बहुत एकत्र रियासत महि ग्राम(...)दि,"करी बवPत ए'तजऋ ेि८.सतञॉआ7 ग;TशE(...झद,"
diksita1895__02__r3l31.png,इलाका । धाम ललाम रचे विरचे बाँ(...)ध्यो,अलाकाA। धा+ ललञञN1KSnविरचेOकाँ(ङ..)द्यो
diksita1895__02__r3l33.png,सुयश पताका ॥ करि बहुकाल विशाल भोग,सबोश पााूP५॥़क़T बहुकाल विू]व*भोआ
dudhadasa1900__02__line_1518443596014_251.png,मुद मंगल सुख देनु सूझिपरै रघुबर चरित ॥,म*दTमंवल१सOख जोनु1स-झ2ेर:[ऽघुबर थतित५ो
dudhadasa1900__02__line_1518443632315_256.png,बन्दौं सिन्धुसुजान शैलसुता षटमुख सहित ।,फO५IIंऽसिन्धुसुअा: शै.सुकि ूटमःख सउित ८
dudhadasa1900__02__line_1518443642227_257.png,सकल सुमंगलखान नन्दीपति गिरिजारमण ॥,"सकलEडुkशगलPान ननँदी3]ि ,ऐनझजग]मल ॥"
dudhadasa1900__02__line_1518443653535_258.png,बन्दौं रघुबर पद जलजाता । आरतिहरण परमसुखदाता ॥,।षददौं जघपबब पदंजधजञताwcठआरतिSkT पछमसुखदातलमो
dudhadasa1900__03__line_1518446019588_266.png,बन्दौं करजोरे सब काहू । दनुजमण्डली रवि शशिराहू ॥,६न्दौं करौैपे सब कझऊू ऋ ़नु।Pण्डली ॉवि८शशिराहूेभ
dudhadasa1900__03__line_1518446044784_269.png,कृपाकरहु सेवक समुझि तजि इरषा अभिमान ॥,कृपउऊरऊ४ PेेरORमुnख तजि इरषा इभिमसन ु
dudhadasa1900__03__line_1518446164360_280.png,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,"च।ए सरस7इत+ नढ५शिo)र२ोंमृ*cसु""ूध ॥"
dudhadasa1900__03__line_1518446179295_281.png,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,"""।खंललिRशुभ8ञिष *थम्भाच1SमLर=िस*नuमिटभमो1मदद८Oभा ि"
dudhadasa1900__03__line_1518446219742_286.png,नित नूतन हरिचरित अनूठे । प्रथमहिंशंभुबचनकह मीठे ॥,बएँंन2तशW४ािररिPo[नदठw । प्ऊथमहितश१ओुईचनकह मीठ]ञ॥
